MAIL,FREIGHT,PASSENGERS,DISTANCE_GROUP,DISTANCE,DEST_AIRPORT_ID,DEST_CITY_NAME,DEST,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,ORIGIN,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER,MONTH,QUARTER,YEAR
0.0,739.0,5195.0,3,1379.0,12892,"Los Angeles, CA",LAX,12266,"Houston, TX",IAH,Delta Air Lines Inc.,DL,1,1,2025
0.0,0.0,5196.0,1,272.0,14869,"Salt Lake City, UT",SLC,14794,"St. George, UT",SGU,SkyWest Airlines Inc.,OO,1,1,2025
0.0,0.0,5196.0,1,419.0,11042,"Cleveland, OH",CLE,12953,"New York, NY",LGA,Endeavor Air Inc.,9E,1,1,2025
0.0,0.0,5197.0,2,637.0,11292,"Denver, CO",DEN,14783,"Springfield, MO",SGF,SkyWest Airlines Inc.,OO,1,1,2025
0.0,0.0,5197.0,3,1025.0,14635,"Fort Myers, FL",RSW,11042,"Cleveland, OH",CLE,United Air Lines Inc.,UA,1,1,2025
0.0,0.0,5199.0,4,1585.0,11618,"Newark, NJ",EWR,10732,"Aguadilla, PR",BQN,United Air Lines Inc.,UA,1,1,2025
0.0,276.0,5199.0,5,2417.0,14831,"San Jose, CA",SJC,12173,"Honolulu, HI",HNL,Hawaiian Airlines Inc.,HA,1,1,2025
5922.0,15042.0,5200.0,4,1616.0,11298,"Dallas/Fort Worth, TX",DFW,14057,"Portland, OR",PDX,Alaska Airlines Inc.,AS,1,1,2025
0.0,0.0,5202.0,3,1044.0,11986,"Grand Rapids, MI",GRR,14112,"St. Petersburg, FL",PIE,Allegiant Air,G4,1,1,2025
0.0,11800.0,5203.0,6,2688.0,14747,"Seattle, WA",SEA,12758,"Kona, HI",KOA,Delta Air Lines Inc.,DL,1,1,2025
0.0,0.0,5205.0,1,287.0,11433,"Detroit, MI",DTW,11977,"Green Bay, WI",GRB,SkyWest Airlines Inc.,OO,1,1,2025
0.0,12959.0,5205.0,1,359.0,12448,"Jackson/Vicksburg, MS",JAN,12191,"Houston, TX",HOU,Southwest Airlines Co.,WN,1,1,2025
78.0,19801.0,5208.0,5,2088.0,14869,"Salt Lake City, UT",SLC,13303,"Miami, FL",MIA,Delta Air Lines Inc.,DL,1,1,2025
0.0,2625.0,5214.0,6,2845.0,14107,"Phoenix, AZ",PHX,13830,"Kahului, HI",OGG,Southwest Airlines Co.,WN,1,1,2025
0.0,10235.0,5214.0,3,1036.0,14683,"San Antonio, TX",SAT,13232,"Chicago, IL",MDW,Southwest Airlines Co.,WN,1,1,2025
0.0,11435.0,5215.0,4,1703.0,11697,"Fort Lauderdale, FL",FLL,11292,"Denver, CO",DEN,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5217.0,2,508.0,11823,"Fort Wayne, IN",FWA,10397,"Atlanta, GA",ATL,SkyWest Airlines Inc.,OO,1,1,2025
0.0,12895.0,5217.0,1,462.0,13851,"Oklahoma City, OK",OKC,15016,"St. Louis, MO",STL,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5219.0,1,401.0,11481,"Panama City, FL",ECP,10693,"Nashville, TN",BNA,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5219.0,1,417.0,14685,"Savannah, GA",SAV,10693,"Nashville, TN",BNA,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5221.0,1,240.0,11267,"Dayton, OH",DAY,13930,"Chicago, IL",ORD,SkyWest Airlines Inc.,OO,1,1,2025
0.0,0.0,5222.0,4,1674.0,10721,"Boston, MA",BOS,14843,"San Juan, PR",SJU,Frontier Airlines Inc.,F9,1,1,2025
0.0,0.0,5224.0,2,516.0,11292,"Denver, CO",DEN,10627,"Bismarck/Mandan, ND",BIS,SkyWest Airlines Inc.,OO,1,1,2025
0.0,12896.0,5225.0,6,2724.0,13303,"Miami, FL",MIA,14747,"Seattle, WA",SEA,Alaska Airlines Inc.,AS,1,1,2025
64.0,29186.0,5226.0,1,399.0,10551,"Bethel, AK",BET,10299,"Anchorage, AK",ANC,Alaska Airlines Inc.,AS,1,1,2025
0.0,60.0,5229.0,2,769.0,11298,"Dallas/Fort Worth, TX",DFW,12094,"Hayden, CO",HDN,American Airlines Inc.,AA,1,1,2025
0.0,0.0,5230.0,1,402.0,14570,"Reno, NV",RNO,12954,"Long Beach, CA",LGB,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5231.0,1,201.0,12266,"Houston, TX",IAH,11140,"Corpus Christi, TX",CRP,CommuteAir LLC dba CommuteAir,C5,1,1,2025
0.0,0.0,5232.0,2,964.0,12266,"Houston, TX",IAH,13303,"Miami, FL",MIA,Spirit Air Lines,NK,1,1,2025
0.0,0.0,5232.0,3,1121.0,10721,"Boston, MA",BOS,13204,"Orlando, FL",MCO,Frontier Airlines Inc.,F9,1,1,2025
